Step,MPC_Start_Time,Control_Time,Actual_Time_Interval,CONTROL_DT,Mission_Phase,Waypoint_Number,Telemetry_X_mm,Telemetry_Z_mm,Telemetry_Yaw_deg,Current_X,Current_Y,Current_Yaw,Current_VX,Current_VY,Current_Angular_Vel,Target_X,Target_Y,Target_Yaw,Target_VX,Target_VY,Target_Angular_Vel,Error_X,Error_Y,Error_Yaw,Error_VX,Error_VY,Error_Angular_Vel,MPC_Computation_Time,MPC_Status,MPC_Solver,MPC_Solver_Time_Limit,MPC_Solve_Time,MPC_Time_Limit_Exceeded,MPC_Fallback_Used,MPC_Objective,MPC_Iterations,MPC_Optimality_Gap,Command_Vector,Command_Hex,Command_Sent_Time,Total_Active_Thrusters,Thruster_Switches,Total_MPC_Loop_Time,Timing_Violation
12,0.7200,0.7200,0.0600,0.060,APPROACHING,0,999.57,1000.77,176.85,0.99957,1.00077,3.08670,-0.00072,0.00154,-0.13528,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49957,0.50077,-3.08670,0.00072,-0.00154,0.13528,0.0185,OPTIMAL,Gurobi,0.050,0.0041,False,False,116405.528,74,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,0.7200,4,0,0.0000,False
13,0.7800,0.7800,0.0600,0.060,APPROACHING,0,999.54,1000.86,176.37,0.99954,1.00086,3.07830,-0.00052,0.00168,-0.14342,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49954,0.50086,-3.07830,0.00052,-0.00168,0.14342,0.0097,OPTIMAL,Gurobi,0.050,0.0038,False,False,114673.597,247,0.000,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,0.7800,4,0,0.0000,False
14,0.8400,0.8400,0.0600,0.060,APPROACHING,0,999.49,1000.95,175.84,0.99949,1.00095,3.06906,-0.00084,0.00125,-0.16034,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49949,0.50095,-3.06906,0.00084,-0.00125,0.16034,0.0103,OPTIMAL,Gurobi,0.050,0.0029,False,False,113841.065,6,0.009,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,0.8400,4,0,0.0000,False
15,0.9000,0.9000,0.0600,0.060,APPROACHING,0,999.45,1001.05,175.27,0.99945,1.00105,3.05905,-0.00040,0.00161,-0.17232,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49945,0.50105,-3.05905,0.00040,-0.00161,0.17232,0.0064,OPTIMAL,Gurobi,0.050,0.0014,False,False,112967.825,7,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,0.9000,4,0,0.0000,False
16,0.9600,0.9600,0.0600,0.060,APPROACHING,0,999.42,1001.17,174.68,0.99942,1.00117,3.04866,-0.00064,0.00220,-0.17267,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49942,0.50117,-3.04866,0.00064,-0.00220,0.17267,0.0091,OPTIMAL,Gurobi,0.050,0.0015,False,False,112555.814,40,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,0.9600,4,0,0.0000,False
17,1.0250,1.0250,0.0650,0.060,APPROACHING,0,999.39,1001.31,174.01,0.99939,1.00131,3.03704,-0.00049,0.00190,-0.18301,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49939,0.50131,-3.03704,0.00049,-0.00190,0.18301,0.0190,OPTIMAL,Gurobi,0.050,0.0049,False,False,111700.302,54,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,1.0250,4,0,0.0000,False
18,1.0850,1.0850,0.0600,0.060,APPROACHING,0,999.36,1001.43,173.36,0.99936,1.00143,3.02577,-0.00031,0.00242,-0.18988,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49936,0.50143,-3.02577,0.00031,-0.00242,0.18988,0.0082,OPTIMAL,Gurobi,0.050,0.0023,False,False,111139.781,120,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,1.0850,4,0,0.0000,False
19,1.1450,1.1450,0.0600,0.060,APPROACHING,0,999.34,1001.59,172.69,0.99934,1.00159,3.01409,-0.00029,0.00291,-0.19495,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49934,0.50159,-3.01409,0.00029,-0.00291,0.19495,0.0124,OPTIMAL,Gurobi,0.050,0.0044,False,False,109324.219,285,0.000,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,1.1450,4,0,0.0000,False
20,1.2050,1.2050,0.0600,0.060,APPROACHING,0,999.31,1001.77,171.99,0.99931,1.00177,3.00180,-0.00052,0.00303,-0.20257,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49931,0.50177,-3.00180,0.00052,-0.00303,0.20257,0.0119,OPTIMAL,Gurobi,0.050,0.0020,False,False,108562.661,21,0.009,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,1.2050,4,0,0.0000,False
21,1.2650,1.2650,0.0600,0.060,APPROACHING,0,999.29,1001.96,171.29,0.99929,1.00196,2.98964,-0.00030,0.00316,-0.19967,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49929,0.50196,-2.98964,0.00030,-0.00316,0.19967,0.0224,OPTIMAL,Gurobi,0.050,0.0017,False,False,107786.552,36,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,1.2650,4,0,0.0000,False
22,1.3250,1.3250,0.0600,0.060,APPROACHING,0,999.26,1002.18,170.58,0.99926,1.00218,2.97719,-0.00073,0.00387,-0.20817,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49926,0.50218,-2.97719,0.00073,-0.00387,0.20817,0.0158,OPTIMAL,Gurobi,0.050,0.0044,False,False,106871.100,77,0.009,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,1.3250,4,0,0.0000,False
23,1.3850,1.3850,0.0600,0.060,APPROACHING,0,999.22,1002.40,169.85,0.99922,1.00240,2.96444,-0.00060,0.00367,-0.21507,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49922,0.50240,-2.96444,0.00060,-0.00367,0.21507,0.0086,OPTIMAL,Gurobi,0.050,0.0028,False,False,106187.708,91,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,1.3850,4,0,0.0000,False
24,1.4450,1.4450,0.0600,0.060,APPROACHING,0,999.19,1002.64,169.09,0.99919,1.00264,2.95125,-0.00020,0.00409,-0.21964,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49919,0.50264,-2.95125,0.00020,-0.00409,0.21964,0.0138,OPTIMAL,Gurobi,0.050,0.0043,False,False,105763.743,246,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,1.4450,4,0,0.0000,False
25,1.5050,1.5050,0.0600,0.060,APPROACHING,0,999.17,1002.90,168.32,0.99917,1.00290,2.93779,-0.00032,0.00475,-0.22971,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49917,0.50290,-2.93779,0.00032,-0.00475,0.22971,0.0176,OPTIMAL,Gurobi,0.050,0.0052,False,False,103640.777,267,0.000,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,1.5050,4,0,0.0000,False
26,1.5650,1.5650,0.0600,0.060,APPROACHING,0,999.15,1003.19,167.52,0.99915,1.00319,2.92385,-0.00045,0.00506,-0.23529,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49915,0.50319,-2.92385,0.00045,-0.00506,0.23529,0.0121,OPTIMAL,Gurobi,0.050,0.0023,False,False,102561.559,46,0.009,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,1.5650,4,0,0.0000,False
27,1.6250,1.6250,0.0600,0.060,APPROACHING,0,999.13,1003.50,166.70,0.99913,1.00350,2.90947,-0.00020,0.00519,-0.24077,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49913,0.50350,-2.90947,0.00020,-0.00519,0.24077,0.0074,OPTIMAL,Gurobi,0.050,0.0019,False,False,101664.441,53,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,1.6250,4,0,0.0000,False
28,1.6850,1.6850,0.0600,0.060,APPROACHING,0,999.12,1003.81,165.85,0.99912,1.00381,2.89470,-0.00036,0.00507,-0.24962,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49912,0.50381,-2.89470,0.00036,-0.00507,0.24962,0.0135,OPTIMAL,Gurobi,0.050,0.0031,False,False,100645.335,87,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,1.6850,4,0,0.0000,False
29,1.7450,1.7450,0.0600,0.060,APPROACHING,0,999.11,1004.11,164.99,0.99911,1.00411,2.87966,-0.00008,0.00512,-0.25046,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49911,0.50411,-2.87966,0.00008,-0.00512,0.25046,0.0138,OPTIMAL,Gurobi,0.050,0.0032,False,False,99964.913,134,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,1.7450,4,0,0.0000,False
30,1.8050,1.8050,0.0600,0.060,APPROACHING,0,999.11,1004.43,164.11,0.99911,1.00443,2.86433,0.00041,0.00538,-0.25477,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49911,0.50443,-2.86433,-0.00041,-0.00538,0.25477,0.0232,OPTIMAL,Gurobi,0.050,0.0069,False,False,98238.681,291,0.000,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,1.8050,4,0,0.0000,False
31,1.8650,1.8650,0.0600,0.060,APPROACHING,0,999.13,1004.75,163.24,0.99913,1.00475,2.84902,0.00008,0.00513,-0.25796,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49913,0.50475,-2.84902,-0.00008,-0.00513,0.25796,0.0079,OPTIMAL,Gurobi,0.050,0.0023,False,False,97285.198,78,0.009,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,1.8650,4,0,0.0000,False
32,1.9250,1.9250,0.0600,0.060,APPROACHING,0,999.13,1005.06,162.34,0.99913,1.00506,2.83335,-0.00004,0.00503,-0.25942,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49913,0.50506,-2.83335,0.00004,-0.00503,0.25942,0.0323,OPTIMAL,Gurobi,0.050,0.0084,False,False,96389.945,79,0.009,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,1.9250,4,0,0.0000,False
33,1.9850,1.9850,0.0600,0.060,APPROACHING,0,999.12,1005.37,161.44,0.99912,1.00537,2.81765,-0.00012,0.00504,-0.26545,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49912,0.50537,-2.81765,0.00012,-0.00504,0.26545,0.0139,OPTIMAL,Gurobi,0.050,0.0031,False,False,95410.954,89,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,1.9850,4,0,0.0000,False
34,2.0450,2.0450,0.0600,0.060,APPROACHING,0,999.11,1005.67,160.52,0.99911,1.00567,2.80162,-0.00005,0.00534,-0.26549,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49911,0.50567,-2.80162,0.00005,-0.00534,0.26549,0.0159,OPTIMAL,Gurobi,0.050,0.0030,False,False,94802.547,144,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,2.0450,4,0,0.0000,False
35,2.1050,2.1050,0.0600,0.060,APPROACHING,0,999.11,1005.99,159.61,0.99911,1.00599,2.78572,0.00025,0.00526,-0.26223,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49911,0.50599,-2.78572,-0.00025,-0.00526,0.26223,0.0161,OPTIMAL,Gurobi,0.050,0.0049,False,False,93070.189,281,0.000,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,2.1050,4,0,0.0000,False
36,2.1650,2.1650,0.0600,0.060,APPROACHING,0,999.14,1006.32,158.69,0.99914,1.00632,2.76964,0.00062,0.00573,-0.26725,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49914,0.50632,-2.76964,-0.00062,-0.00573,0.26725,0.0126,OPTIMAL,Gurobi,0.050,0.0032,False,False,92147.151,72,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,2.1650,4,0,0.0000,False
37,2.2250,2.2250,0.0600,0.060,APPROACHING,0,999.18,1006.67,157.77,0.99918,1.00667,2.75355,0.00063,0.00567,-0.26829,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49918,0.50667,-2.75355,-0.00063,-0.00567,0.26829,0.0179,OPTIMAL,Gurobi,0.050,0.0036,False,False,91174.951,83,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,2.2250,4,0,0.0000,False
38,2.2850,2.2850,0.0600,0.060,APPROACHING,0,999.20,1007.01,156.84,0.99920,1.00701,2.73731,0.00034,0.00600,-0.27230,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49920,0.50701,-2.73731,-0.00034,-0.00600,0.27230,0.0144,OPTIMAL,Gurobi,0.050,0.0026,False,False,90307.233,106,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,2.2850,4,0,0.0000,False
39,2.3450,2.3450,0.0600,0.060,APPROACHING,0,999.23,1007.38,155.89,0.99923,1.00738,2.72082,0.00038,0.00609,-0.27788,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49923,0.50738,-2.72082,-0.00038,-0.00609,0.27788,0.0198,OPTIMAL,Gurobi,0.050,0.0050,False,False,89451.000,162,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,2.3450,4,0,0.0000,False
40,2.4050,2.4050,0.0600,0.060,APPROACHING,0,999.25,1007.75,154.93,0.99925,1.00775,2.70412,-0.00004,0.00634,-0.27797,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49925,0.50775,-2.70412,0.00004,-0.00634,0.27797,0.0172,OPTIMAL,Gurobi,0.050,0.0090,False,False,87756.181,304,0.000,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,2.4050,4,0,0.0000,False
41,2.4650,2.4650,0.0600,0.060,APPROACHING,0,999.24,1008.13,153.98,0.99924,1.00813,2.68748,0.00010,0.00646,-0.27330,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49924,0.50813,-2.68748,-0.00010,-0.00646,0.27330,0.0135,OPTIMAL,Gurobi,0.050,0.0036,False,False,86783.548,71,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,2.4650,4,0,0.0000,False
42,2.5250,2.5250,0.0600,0.060,APPROACHING,0,999.25,1008.52,153.06,0.99925,1.00852,2.67143,0.00000,0.00659,-0.25853,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49925,0.50852,-2.67143,-0.00000,-0.00659,0.25853,0.0073,OPTIMAL,Gurobi,0.050,0.0018,False,False,86259.403,101,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,2.5250,4,0,0.0000,False
43,2.5850,2.5850,0.0600,0.060,APPROACHING,0,999.26,1008.92,152.16,0.99926,1.00892,2.65577,0.00043,0.00679,-0.26204,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49926,0.50892,-2.65577,-0.00043,-0.00679,0.26204,0.0264,OPTIMAL,Gurobi,0.050,0.0029,False,False,85515.398,117,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,2.5850,4,0,0.0000,False
44,2.6450,2.6450,0.0600,0.060,APPROACHING,0,999.30,1009.33,151.25,0.99930,1.00933,2.63980,0.00054,0.00705,-0.26670,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49930,0.50933,-2.63980,-0.00054,-0.00705,0.26670,0.0075,OPTIMAL,Gurobi,0.050,0.0023,False,False,84822.379,281,0.010,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,2.6450,4,0,0.0000,False
45,2.7050,2.7050,0.0600,0.060,APPROACHING,0,999.34,1009.78,150.31,0.99934,1.00978,2.62341,0.00063,0.00750,-0.27415,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.49934,0.50978,-2.62341,-0.00063,-0.00750,0.27415,0.0099,OPTIMAL,Gurobi,0.050,0.0034,False,False,82893.923,304,0.000,"[0, 1, 0, 1, 0, 1, 0, 1]",0x01010101,2.7050,4,0,0.0000,False
