Step,MPC_Start_Time,Control_Time,Actual_Time_Interval,CONTROL_DT,Mission_Phase,Waypoint_Number,Telemetry_X_mm,Telemetry_Z_mm,Telemetry_Yaw_deg,Current_X,Current_Y,Current_Yaw,Current_VX,Current_VY,Current_Angular_Vel,Target_X,Target_Y,Target_Yaw,Target_VX,Target_VY,Target_Angular_Vel,Error_X,Error_Y,Error_Yaw,Error_VX,Error_VY,Error_Angular_Vel,MPC_Computation_Time,MPC_Status,MPC_Solver,MPC_Solver_Time_Limit,MPC_Solve_Time,MPC_Time_Limit_Exceeded,MPC_Fallback_Used,MPC_Objective,MPC_Iterations,MPC_Optimality_Gap,Command_Vector,Command_Hex,Command_Sent_Time,Total_Active_Thrusters,Thruster_Switches,Total_MPC_Loop_Time,Timing_Violation
0,0.0000,0.0000,0.0600,0.060,APPROACHING,0,1000.00,500.00,28.65,1.00000,0.50000,0.50000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.50000,-0.50000,0.00000,0.00000,0.00000,0.0220,OPTIMAL,Gurobi,0.050,0.0062,False,False,17832.498,326,0.000,"[0, 1, 0, 1, 0, 0, 0, 1]",0x01010001,0.0000,3,0,0.0000,False
1,0.0650,0.0650,0.0600,0.060,APPROACHING,0,1000.00,499.99,28.66,1.00000,0.49999,0.50015,-0.00015,-0.00025,0.00402,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.49999,-0.50015,0.00015,0.00025,-0.00402,0.0104,OPTIMAL,Gurobi,0.050,0.0048,False,False,17839.510,337,0.000,"[0, 1, 0, 1, 0, 0, 0, 1]",0x01010001,0.0650,3,0,0.0000,False
2,0.1200,0.1200,0.0550,0.060,APPROACHING,0,1000.00,499.96,28.66,1.00000,0.49996,0.50029,-0.00024,-0.00059,-0.00100,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.49996,-0.50029,0.00024,0.00059,0.00100,0.0110,OPTIMAL,Gurobi,0.050,0.0051,False,False,17839.093,361,0.000,"[0, 1, 0, 1, 0, 0, 0, 1]",0x01010001,0.1200,3,0,0.0000,False
3,0.1800,0.1800,0.0600,0.060,APPROACHING,0,999.96,499.91,28.64,0.99996,0.49991,0.49981,-0.00087,-0.00118,-0.02030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99996,0.49991,-0.49981,0.00087,0.00118,0.02030,0.0107,OPTIMAL,Gurobi,0.050,0.0049,False,False,17762.192,348,0.000,"[0, 1, 0, 1, 0, 0, 0, 1]",0x01010001,0.1800,3,0,0.0000,False
4,0.2400,0.2400,0.0600,0.060,APPROACHING,0,999.89,499.83,28.52,0.99989,0.49983,0.49784,-0.00170,-0.00173,-0.03982,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99989,0.49983,-0.49784,0.00170,0.00173,0.03982,0.0115,OPTIMAL,Gurobi,0.050,0.0053,False,False,17683.541,375,0.000,"[1, 1, 0, 1, 0, 0, 0, 1]",0x11010001,0.2400,4,1,0.0000,False
5,0.3000,0.3000,0.0600,0.060,APPROACHING,0,999.76,499.71,28.37,0.99976,0.49971,0.49508,-0.00218,-0.00191,-0.05218,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99976,0.49971,-0.49508,0.00218,0.00191,0.05218,0.0113,OPTIMAL,Gurobi,0.050,0.0054,False,False,17630.359,373,0.000,"[1, 1, 0, 1, 0, 0, 0, 1]",0x11010001,0.3000,4,0,0.0000,False
6,0.3600,0.3600,0.0600,0.060,APPROACHING,0,999.59,499.56,28.16,0.99959,0.49956,0.49155,-0.00351,-0.00276,-0.06564,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99959,0.49956,-0.49155,0.00351,0.00276,0.06564,0.0113,OPTIMAL,Gurobi,0.050,0.0052,False,False,17544.988,398,0.000,"[1, 1, 0, 1, 0, 0, 0, 1]",0x11010001,0.3600,4,0,0.0000,False
7,0.4200,0.4200,0.0600,0.060,APPROACHING,0,999.32,499.34,27.92,0.99932,0.49934,0.48727,-0.00532,-0.00433,-0.07802,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99932,0.49934,-0.48727,0.00532,0.00433,0.07802,0.0118,OPTIMAL,Gurobi,0.050,0.0057,False,False,17446.076,411,0.000,"[1, 1, 0, 1, 0, 0, 0, 1]",0x11010001,0.4200,4,0,0.0000,False
8,0.4800,0.4800,0.0600,0.060,APPROACHING,0,998.94,499.05,27.63,0.99894,0.49905,0.48224,-0.00727,-0.00547,-0.08236,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99894,0.49905,-0.48224,0.00727,0.00547,0.08236,0.0115,OPTIMAL,Gurobi,0.050,0.0055,False,False,17334.431,395,0.000,"[1, 1, 0, 1, 0, 0, 0, 1]",0x11010001,0.4800,4,0,0.0000,False
9,0.5400,0.5400,0.0600,0.060,APPROACHING,0,998.44,498.70,27.34,0.99844,0.49870,0.47725,-0.00920,-0.00606,-0.08380,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99844,0.49870,-0.47725,0.00920,0.00606,0.08380,0.0120,OPTIMAL,Gurobi,0.050,0.0060,False,False,17257.002,413,0.000,"[1, 1, 0, 1, 0, 0, 0, 1]",0x11010001,0.5400,4,0,0.0000,False
