Step,MPC_Start_Time,Control_Time,Actual_Time_Interval,CONTROL_DT,Mission_Phase,Waypoint_Number,Telemetry_X_mm,Telemetry_Z_mm,Telemetry_Yaw_deg,Current_X,Current_Y,Current_Yaw,Current_VX,Current_VY,Current_Angular_Vel,Target_X,Target_Y,Target_Yaw,Target_VX,Target_VY,Target_Angular_Vel,Error_X,Error_Y,Error_Yaw,Error_VX,Error_VY,Error_Angular_Vel,MPC_Computation_Time,MPC_Status,MPC_Solver,MPC_Solver_Time_Limit,MPC_Solve_Time,MPC_Time_Limit_Exceeded,MPC_Fallback_Used,MPC_Objective,MPC_Iterations,MPC_Optimality_Gap,Command_Vector,Command_Hex,Command_Sent_Time,Total_Active_Thrusters,Thruster_Switches,Total_MPC_Loop_Time,Timing_Violation
0,0.0000,0.0000,0.0600,0.060,APPROACHING,0,1000.00,500.00,28.60,1.00000,0.50000,0.49916,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.50000,-0.49916,0.00000,0.00000,0.00000,0.0117,OPTIMAL,Gurobi,0.050,0.0044,False,False,17844.570,330,0.000,"[0, 1, 0, 1, 0, 0, 0, 1]",0x01010001,0.0000,3,0,0.0000,False
1,0.0650,0.0650,0.0600,0.060,APPROACHING,0,1000.01,500.02,28.61,1.00001,0.50002,0.49932,0.00021,0.00055,0.00261,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00001,0.50002,-0.49932,-0.00021,-0.00055,-0.00261,0.0113,OPTIMAL,Gurobi,0.050,0.0051,False,False,17859.728,361,0.000,"[0, 1, 0, 1, 0, 0, 0, 1]",0x01010001,0.0650,3,0,0.0000,False
2,0.1200,0.1200,0.0550,0.060,APPROACHING,0,1000.00,500.05,28.60,1.00000,0.50005,0.49913,-0.00041,0.00047,-0.00667,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,1.00000,0.50005,-0.49913,0.00041,-0.00047,0.00667,0.0112,OPTIMAL,Gurobi,0.050,0.0051,False,False,17803.044,329,0.000,"[0, 1, 0, 1, 0, 0, 0, 1]",0x01010001,0.1200,3,0,0.0000,False
3,0.1800,0.1800,0.0600,0.060,APPROACHING,0,999.96,500.07,28.56,0.99996,0.50007,0.49852,-0.00113,0.00017,-0.01935,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99996,0.50007,-0.49852,0.00113,-0.00017,0.01935,0.0114,OPTIMAL,Gurobi,0.050,0.0051,False,False,17751.757,358,0.000,"[0, 1, 0, 1, 0, 0, 0, 1]",0x01010001,0.1800,3,0,0.0000,False
4,0.2400,0.2400,0.0600,0.060,APPROACHING,0,999.86,500.06,28.46,0.99986,0.50006,0.49679,-0.00207,-0.00021,-0.04059,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99986,0.50006,-0.49679,0.00207,0.00021,0.04059,0.0115,OPTIMAL,Gurobi,0.050,0.0052,False,False,17677.722,355,0.000,"[1, 1, 0, 1, 0, 0, 0, 1]",0x11010001,0.2400,4,1,0.0000,False
5,0.3000,0.3000,0.0600,0.060,APPROACHING,0,999.71,500.03,28.30,0.99971,0.50003,0.49396,-0.00316,-0.00093,-0.05473,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99971,0.50003,-0.49396,0.00316,0.00093,0.05473,0.0120,OPTIMAL,Gurobi,0.050,0.0058,False,False,17604.740,408,0.000,"[1, 1, 0, 1, 0, 0, 0, 1]",0x11010001,0.3000,4,0,0.0000,False
6,0.3600,0.3600,0.0600,0.060,APPROACHING,0,999.48,499.95,28.08,0.99948,0.49995,0.49012,-0.00432,-0.00171,-0.06976,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99948,0.49995,-0.49012,0.00432,0.00171,0.06976,0.0124,OPTIMAL,Gurobi,0.050,0.0062,False,False,17519.761,415,0.000,"[1, 1, 0, 1, 0, 0, 0, 1]",0x11010001,0.3600,4,0,0.0000,False
7,0.4200,0.4200,0.0600,0.060,APPROACHING,0,999.17,499.80,27.83,0.99917,0.49980,0.48572,-0.00612,-0.00296,-0.07640,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99917,0.49980,-0.48572,0.00612,0.00296,0.07640,0.0119,OPTIMAL,Gurobi,0.050,0.0057,False,False,17435.426,374,0.000,"[1, 1, 0, 1, 0, 0, 0, 1]",0x11010001,0.4200,4,0,0.0000,False
8,0.4800,0.4800,0.0600,0.060,APPROACHING,0,998.74,499.58,27.56,0.99874,0.49958,0.48104,-0.00833,-0.00431,-0.07795,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99874,0.49958,-0.48104,0.00833,0.00431,0.07795,0.0123,OPTIMAL,Gurobi,0.050,0.0062,False,False,17350.777,403,0.000,"[1, 1, 0, 1, 0, 0, 0, 1]",0x11010001,0.4800,4,0,0.0000,False
9,0.5400,0.5400,0.0600,0.060,APPROACHING,0,998.17,499.30,27.28,0.99817,0.49930,0.47607,-0.01085,-0.00512,-0.08542,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.99817,0.49930,-0.47607,0.01085,0.00512,0.08542,0.0120,OPTIMAL,Gurobi,0.050,0.0059,False,False,17245.471,405,0.000,"[1, 1, 0, 1, 0, 0, 0, 1]",0x11010001,0.5400,4,0,0.0000,False
